species,life_stage,variable,threshold_type,value,units,source_label,evidence_type,confidence,model_use,verified,notes
# POPULATED from Prompt 2 species/threshold analysis (2026-05-25).
# verified=TRUE only for high-confidence official NC sources with no known conflicts.
# All thresholds with verified=FALSE require primary literature check before hard-threshold use.
# See CLAIM_BOUNDARIES.md: generic thresholds are NOT species-specific lethal thresholds.
# See species_traits.yaml for structured threshold data; see endpoint_verification.md for endpoint status.
multispecies_program195,survey_endpoint,sampling_window,survey_months,"June and September",months,SEAMAP_Program195_NCDMF,expert/agency guideline,high,metadata_only,TRUE,"Use only for Program 195-aligned endpoints. Annual design: 54 grids/month in June and September."
multispecies_program195,survey_endpoint,sampling_design,annual_grid_target,"54 grids/month; 108 grids/year",grids,SEAMAP_Program195_NCDMF,expert/agency guideline,high,metadata_only,TRUE,"Useful for effort and validation metadata."
multispecies,all,dissolved_oxygen,nc_tidal_saltwater_screen,>=5.0,mg/L,NC_water_quality_standards_15A_NCAC_02B,expert/agency guideline,medium,sensitivity_only,FALSE,"Regulatory screen not a species-specific biological threshold."
multispecies,all,dissolved_oxygen,generic_hypoxia_screen,<2.0,mg/L,NOAA_NCCOS_hypoxia_definition,expert/agency guideline,low-to-medium,primary_soft_threshold_generic,FALSE,"Use as common hypoxia exposure metric. Keep species-specific thresholds separate."
multispecies,all,pH,nc_tidal_saltwater_screen,"6.8-8.5",pH,NC_water_quality_standards_15A_NCAC_02B,expert/agency guideline,low_for_species,anomaly_or_percentile_predictor,FALSE,"Good as water-quality screen; weak as species stress threshold."
multispecies,all,chlorophyll_a,nc_eutrophication_bloom_screen,40,ug/L,NC_chlorophyll_criterion_Neuse_ModMon,expert/agency guideline / field association,low_for_species,bloom_anomaly_covariate,FALSE,"Use as bloom/anomaly covariate not direct fish mortality threshold."
blue_crab,recruit_juvenile,endpoint,recruit_cutoff,<127,mm_carapace_width,NCDMF_blue_crab_Amendment3_FMP2025,expert/agency guideline,high,primary_fixed_endpoint,TRUE,"Strong Program 195-compatible endpoint. Fully recruited adult is >=127 mm CW."
blue_crab,juvenile_adult,temperature,broad_lower_tolerance,3,deg_C,blue_crab_HSI_suitability_synthesis,model-derived / expert guideline,medium,sensitivity_only,FALSE,"Broad tolerance; not a preferred temperature. Use as sensitivity bound."
blue_crab,juvenile_adult,temperature,broad_upper_tolerance,37,deg_C,blue_crab_HSI_suitability_synthesis,model-derived / expert guideline,medium,sensitivity_only,FALSE,"Use as sensitivity bound not hard field cutoff."
blue_crab,juvenile_adult,degree_days,molt_growth_base_temperature,10.8,deg_C,blue_crab_temp_growth_molt_model_ResearchGate,model-derived / laboratory + enclosure,medium,growth_molt_timing_only,FALSE,"Best-supported degree-day candidate in this species set. Use for growth/molt timing not habitat danger."
blue_crab,juvenile_adult,degree_days,mean_intermolt_accumulation,"536 (±231)",deg_C_days,blue_crab_temp_growth_molt_model_ResearchGate,model-derived / laboratory + enclosure,medium,growth_molt_timing_only,FALSE,"Use for growth/molt timing not habitat danger. Uncertainty is ±231 degree C-days."
blue_crab,juvenile,salinity,juvenile_nursery_association,<5,psu,blue_crab_HSI_juvenile_nursery_synthesis,field association / model-derived,medium,soft_association,FALSE,"Association with nursery abundance not minimum tolerance."
blue_crab,egg_larva_spawning_female,salinity,egg_hatching_high_salinity,>=20,psu,Chesapeake_blue_crab_spawning_egg_MVCommission,field association,low-to-medium,sensitivity_only_nonlocal,FALSE,"Non-NC Chesapeake source. Use only for spawning-adult high-salinity dependence sensitivity."
blue_crab,juvenile_adult,dissolved_oxygen,avoidance_behavioral_stress,<4.0,mg/L,blue_crab_DO_behavior_Selberg2001_Neuse,field association,medium,primary_soft_threshold,FALSE,"Strong as avoidance threshold not lethal. Selberg et al. 2001 Neuse River is best local source."
blue_crab,juvenile_adult,dissolved_oxygen,severe_hypoxia_exposure,<2.0,mg/L,blue_crab_DO_behavior_Selberg2001_Neuse,field association,medium,severe_exposure,FALSE,"Crabs can sometimes tolerate hours but avoidance and risk increase."
blue_crab,adult,dissolved_oxygen,local_field_capture_exclusion,<6.5,mg/L,Neuse_estuary_field_report_P2InfoHouse,field association,low,sensitivity_only,FALSE,"Contradicts lower physiological/avoidance thresholds. Likely not a physiological threshold. Do not use as hard cutoff."
blue_crab,spawning_adult,seasonality,spawning_season,"June-August",months,NC_blue_crab_life_history_synthesis_Wiley,field association,medium,spawning_habitat_mask,FALSE,"Use for spawning-adult habitat mask."
blue_crab,recruit,seasonality,recruitment_season,"July-October",months,NC_blue_crab_life_history_synthesis_Wiley,field association,medium,recruit_exposure_window,FALSE,"Aligns with recruit habitat exposure windows."
atlantic_croaker,juvenile,endpoint,june_juvenile_cutoff_latest_candidate,<140,mm_total_length,NCDMF_croaker_2024_review,expert/agency guideline,medium,provisional_primary,FALSE,"CONFLICT: 2022-2023 NCDMF sources used <160 mm TL. Confirm with NCDMF before finalizing. Run both as sensitivity."
atlantic_croaker,juvenile,endpoint,june_juvenile_cutoff_alternate,<160,mm_total_length,NCDMF_croaker_2023_review,expert/agency guideline,medium,sensitivity_only,FALSE,"2022-2023 cutoff. Superseded or changed in 2024. Use as sensitivity until NCDMF confirms correct cutoff."
atlantic_croaker,juvenile,endpoint,september_juvenile_cutoff,<210,mm_total_length,NCDMF_croaker_2023_2024_reviews,expert/agency guideline,high,primary_fixed_endpoint,TRUE,"Consistent across 2022-2024 sources."
atlantic_croaker,egg,temperature,hatchery_incubation_range_min,19,deg_C,SRAC_croaker_aquaculture_profile_RWFM,laboratory tolerance,medium,sensitivity_only,FALSE,"Hatchery/lab; not field optimum. Range 19-24 deg C."
atlantic_croaker,egg,temperature,hatchery_incubation_range_max,24,deg_C,SRAC_croaker_aquaculture_profile_RWFM,laboratory tolerance,medium,sensitivity_only,FALSE,"Hatchery/lab; not field optimum."
atlantic_croaker,egg,temperature,common_incubation_temperature,21,deg_C,SRAC_croaker_aquaculture_profile_RWFM,laboratory tolerance,medium,egg_stage_sensitivity_only,FALSE,"Useful for egg-stage sensitivity only."
